net,length_um
cpu_inst.regfile_inst.registers\[10\]\[15\],19.58
cpu_inst.regfile_inst.registers\[15\]\[9\],19.58
_1940_,19.54
_1018_,19.46
_1691_,19.42
cpu_inst.regfile_inst.registers\[7\]\[20\],19.42
_0773_,19.385
cpu_inst.regfile_inst.registers\[8\]\[19\],19.36
cpu_inst.regfile_inst.registers\[25\]\[23\],19.34
cpu_inst.regfile_inst.registers\[25\]\[9\],19.32
cpu_inst.regfile_inst.registers\[4\]\[31\],19.32
_1405_,19.28
cpu_inst.decoder_inst.current_pc\[18\],19.28
_1713_,19.26
cpu_inst.regfile_inst.registers\[4\]\[29\],19.24
cpu_inst.regfile_inst.registers\[8\]\[18\],19.24
_0895_,19.22
_1508_,19.22
_1656_,19.2
cpu_inst.regfile_inst.registers\[10\]\[16\],19.2
cpu_inst.regfile_inst.registers\[8\]\[26\],19.2
_2365_,19.16
_1476_,19.14
cpu_inst.regfile_inst.registers\[10\]\[28\],19.12
cpu_inst.regfile_inst.registers\[11\]\[15\],19.12
_1939_,19.08
_1157_,19
_1182_,18.96
cpu_inst.regfile_inst.registers\[0\]\[28\],18.94
cpu_inst.regfile_inst.registers\[8\]\[7\],18.92
_0723_,18.845
net15,18.84
_1850_,18.82
cpu_inst.regfile_inst.registers\[25\]\[14\],18.8
cpu_inst.regfile_inst.registers\[5\]\[23\],18.8
cpu_inst.regfile_inst.registers\[5\]\[15\],18.78
cpu_inst.regfile_inst.registers\[5\]\[7\],18.74
_0752_,18.7
_1104_,18.7
_1686_,18.66
cpu_inst.regfile_inst.registers\[25\]\[4\],18.64
_0788_,18.6
_1542_,18.6
cpu_inst.regfile_inst.registers\[5\]\[0\],18.6
cpu_inst.regfile_inst.registers\[5\]\[14\],18.6
_0782_,18.56
cpu_inst.regfile_inst.registers\[2\]\[4\],18.52
cpu_inst.regfile_inst.registers\[10\]\[13\],18.5
_1267_,18.48
_1777_,18.48
cpu_inst.regfile_inst.registers\[0\]\[29\],18.46
_1040_,18.4
cpu_inst.regfile_inst.registers\[24\]\[8\],18.4
cpu_inst.regfile_inst.registers\[4\]\[17\],18.4
cpu_inst.regfile_inst.registers\[5\]\[2\],18.38
cpu_inst.regfile_inst.registers\[2\]\[26\],18.34
_0884_,18.26
_1037_,18.26
cpu_inst.regfile_inst.registers\[5\]\[13\],18.24
cpu_inst.regfile_inst.registers\[7\]\[27\],18.24
_0534_,18.2
_1034_,18.2
cpu_inst.regfile_inst.registers\[8\]\[2\],18.2
cpu_inst.regfile_inst.registers\[9\]\[18\],18.16
cpu_inst.regfile_inst.registers\[0\]\[3\],18.08
cpu_inst.display_inst.counter\[19\],18.06
cpu_inst.regfile_inst.registers\[7\]\[3\],18.06
_1272_,18.02
cpu_inst.regfile_inst.registers\[8\]\[30\],18.02
_1188_,18
_2517_,18
cpu_inst.display_inst.counter\[17\],17.98
_1484_,17.96
cpu_inst.display_inst.counter\[16\],17.96
cpu_inst.regfile_inst.registers\[5\]\[18\],17.9
_0679_,17.86
_1309_,17.82
_1731_,17.8
cpu_inst.display_inst.counter\[10\],17.78
cpu_inst.regfile_inst.registers\[7\]\[2\],17.76
_0987_,17.7
_0994_,17.7
_1788_,17.7
cpu_inst.display_inst.counter\[15\],17.7
_2323_,17.68
_0651_,17.66
cpu_inst.regfile_inst.registers\[4\]\[13\],17.655
_1141_,17.64
_1395_,17.64
cpu_inst.regfile_inst.registers\[9\]\[21\],17.6
_1687_,17.56
_1061_,17.54
cpu_inst.regfile_inst.registers\[9\]\[0\],17.54
_1099_,17.46
cpu_inst.regfile_inst.registers\[9\]\[9\],17.46
cpu_inst.regfile_inst.registers\[11\]\[9\],17.42
cpu_inst.regfile_inst.registers\[0\]\[27\],17.37
_1381_,17.36
_1699_,17.32
cpu_inst.regfile_inst.registers\[10\]\[10\],17.24
cpu_inst.regfile_inst.registers\[5\]\[25\],17.22
_1425_,17.2
