net,length_um
_2555_,42
_2718_,41.8
_1356_,41.78
_1692_,41.76
rf.registers\[20\]\[9\],41.66
_1335_,41.58
_2720_,41.54
_2728_,41.44
_2799_,41.4
_1580_,41.16
_2500_,41.08
_2312_,40.94
_2057_,40.82
_2964_,40.56
clknet_leaf_72_CLK,40.5
_2053_,40.32
_2882_,40.16
_2324_,40.08
_2464_,40.04
_2805_,39.91
_2558_,39.78
_2158_,39.12
_2629_,39
rf.registers\[16\]\[22\],38.98
_1545_,38.74
_2792_,38.56
net116,38.52
_2258_,38.5
rf.registers\[25\]\[12\],38.48
_1443_,38.46
_2123_,38.46
_2041_,38.32
_2104_,38.02
_1258_,37.86
_2595_,37.86
_2959_,37.66
rf.registers\[15\]\[15\],37.54
_2369_,37.5
_2850_,37.5
_2565_,37.38
clknet_leaf_60_CLK,37.12
_2921_,36.96
rf.registers\[24\]\[16\],36.96
rf.registers\[19\]\[16\],36.74
_2554_,36.72
_2708_,36.6
rf.registers\[9\]\[6\],36.48
_2363_,36.42
_2437_,36.42
_2834_,36.34
_2385_,36.22
rf.registers\[23\]\[16\],35.9
_1606_,35.84
_1650_,35.72
net139,35.38
_1279_,35.26
_2872_,35.26
rf.registers\[26\]\[12\],35.255
rf.registers\[11\]\[9\],35.1
rf.registers\[26\]\[17\],35.055
_1928_,34.94
_2719_,34.84
_2049_,34.74
rf.registers\[21\]\[14\],34.7
_2200_,34.68
_2868_,34.58
rf.registers\[18\]\[28\],34.57
rf.registers\[12\]\[7\],34.5
_2685_,34.47
rf.registers\[22\]\[16\],34.335
rf.registers\[30\]\[18\],34.29
rf.registers\[27\]\[12\],34.14
rf.registers\[27\]\[23\],34
_2552_,33.88
rf.registers\[19\]\[28\],33.82
_2458_,33.76
_2352_,33.635
_2054_,33.6
rf.registers\[19\]\[29\],33.44
_2371_,33.4
_2377_,33.2
rf.registers\[23\]\[13\],33.18
_1513_,33.08
rf.registers\[14\]\[15\],33.08
_2242_,32.96
_2140_,32.88
rf.registers\[15\]\[3\],32.88
_1916_,32.76
rf.registers\[27\]\[22\],32.68
_1070_,32.66
rf.registers\[29\]\[13\],32.66
_2356_,32.485
_1680_,32.46
rf.registers\[11\]\[18\],32.4
rf.registers\[28\]\[13\],32.38
_1908_,32.36
_1691_,32.28
_1338_,32.26
_2091_,32.06
_2809_,32.04
rf.registers\[18\]\[16\],31.88
rf.registers\[10\]\[17\],31.85
_2852_,31.84
_2116_,31.82
rf.registers\[29\]\[7\],31.8
rf.registers\[9\]\[21\],31.6
_1436_,31.58
_2723_,31.58
_4163_,31.36
rf.registers\[0\]\[27\],31.32
rf.registers\[26\]\[26\],31.31
_1552_,31.16
rf.registers\[21\]\[7\],31.16
rf.registers\[5\]\[20\],31.16
rf.registers\[30\]\[12\],31.115
rf.registers\[0\]\[4\],31.05
_2253_,31.02
rf.registers\[18\]\[29\],31.015
rf.registers\[19\]\[4\],31
_1738_,30.96
_1926_,30.94
_2550_,30.915
_2937_,30.74
rf.registers\[21\]\[13\],30.74
_2314_,30.72
_3768_,30.58
rf.registers\[24\]\[17\],30.44
rf.registers\[23\]\[12\],30.4
rf.registers\[11\]\[28\],30.37
_2227_,30.36
_2897_,30.325
rf.registers\[15\]\[18\],30.32
rf.registers\[26\]\[15\],30.275
_2214_,30.2
_2216_,30.18
rf.registers\[7\]\[12\],30.14
rf.registers\[15\]\[13\],30.1
rf.registers\[17\]\[12\],30.06
rf.registers\[26\]\[13\],29.97
rf.registers\[10\]\[2\],29.935
_2321_,29.92
_2507_,29.86
rf.registers\[17\]\[4\],29.84
_3877_,29.79
_1949_,29.76
_2496_,29.7
_2037_,29.66
rf.registers\[25\]\[28\],29.52
_2531_,29.44
rf.registers\[12\]\[17\],29.4
_3711_,29.28
rf.registers\[0\]\[2\],29.28
_1590_,29.22
rf.registers\[1\]\[25\],29.16
rf.registers\[20\]\[12\],29.14
rf.registers\[15\]\[23\],29.08
rf.registers\[0\]\[13\],29.06
rf.registers\[18\]\[23\],29.01
rf.registers\[17\]\[14\],28.82
_1748_,28.81
_1878_,28.8
_2770_,28.8
rf.registers\[4\]\[20\],28.74
rf.registers\[22\]\[23\],28.7
rf.registers\[7\]\[25\],28.495
_1629_,28.48
_1911_,28.48
rf.registers\[25\]\[1\],28.46
rf.registers\[30\]\[28\],28.455
_1921_,28.44
_1326_,28.4
rf.registers\[24\]\[1\],28.36
_1673_,28.34
_2777_,28.34
rf.registers\[23\]\[11\],28.3
rf.registers\[16\]\[21\],28.28
_3091_,28.24
rf.registers\[14\]\[2\],28.185
_1402_,28.14
_1859_,28.14
rf.registers\[31\]\[5\],28.14
rf.registers\[18\]\[20\],28.11
_3406_,28.1
rf.registers\[5\]\[9\],28.1
rf.registers\[1\]\[5\],28.04
rf.registers\[8\]\[23\],28.015
rf.registers\[29\]\[12\],28.01
_2645_,28
rf.registers\[27\]\[27\],28
_2249_,27.94
rf.registers\[27\]\[2\],27.78
rf.registers\[2\]\[23\],27.775
rf.registers\[9\]\[16\],27.76
rf.registers\[22\]\[29\],27.73
rf.registers\[22\]\[11\],27.715
rf.registers\[26\]\[28\],27.68
rf.registers\[1\]\[14\],27.67
_1488_,27.6
_2323_,27.58
_2357_,27.56
_2379_,27.56
rf.registers\[16\]\[20\],27.56
_2445_,27.52
rf.registers\[30\]\[26\],27.51
rf.registers\[23\]\[31\],27.49
_2367_,27.48
_2317_,27.46
rf.registers\[26\]\[18\],27.415
rf.registers\[22\]\[10\],27.41
rf.registers\[11\]\[12\],27.4
_1349_,27.38
_2763_,27.34
rf.registers\[6\]\[12\],27.3
rf.registers\[8\]\[5\],27.3
_1224_,27.285
rf.registers\[30\]\[14\],27.25
_2859_,27.2
_2519_,27.18
rf.registers\[12\]\[23\],27.16
_1471_,27.14
_2924_,27.14
_2201_,27.12
rf.registers\[4\]\[25\],27.06
rf.registers\[23\]\[4\],27.05
_2247_,27.02
rf.registers\[26\]\[29\],27
net114,26.98
rf.registers\[10\]\[18\],26.91
_1820_,26.9
_1535_,26.88
_3633_,26.88
rf.registers\[15\]\[2\],26.86
_2198_,26.84
rf.registers\[0\]\[20\],26.82
rf.registers\[17\]\[9\],26.82
rf.registers\[23\]\[20\],26.76
_1844_,26.68
rf.registers\[20\]\[4\],26.68
_1334_,26.64
_1380_,26.64
_2883_,26.59
rf.registers\[14\]\[12\],26.59
rf.registers\[26\]\[3\],26.585
_1032_,26.56
rf.registers\[11\]\[27\],26.52
rf.registers\[23\]\[29\],26.48
rf.registers\[25\]\[31\],26.48
_1996_,26.42
_1081_,26.4
_1068_,26.38
_2684_,26.38
_1495_,26.36
rf.registers\[23\]\[3\],26.36
rf.registers\[25\]\[16\],26.36
rf.registers\[20\]\[6\],26.33
_2644_,26.32
_1464_,26.24
rf.registers\[20\]\[29\],26.2
rf.registers\[24\]\[11\],26.2
_1270_,26.185
_2168_,26.18
_2034_,26.16
rf.registers\[22\]\[22\],26.11
rf.registers\[31\]\[18\],26.04
rf.registers\[8\]\[26\],26.02
_2843_,25.98
rf.registers\[19\]\[1\],25.98
rf.registers\[10\]\[14\],25.97
_1186_,25.96
rf.registers\[12\]\[21\],25.94
_2289_,25.92
rf.registers\[14\]\[16\],25.91
_2841_,25.88
rf.registers\[30\]\[3\],25.87
_1366_,25.86
_1420_,25.84
rf.registers\[27\]\[17\],25.84
rf.registers\[22\]\[20\],25.83
_2802_,25.82
rf.registers\[9\]\[17\],25.82
rf.registers\[25\]\[21\],25.8
rf.registers\[8\]\[19\],25.8
rf.registers\[9\]\[12\],25.8
rf.registers\[9\]\[7\],25.8
rf.registers\[31\]\[23\],25.78
rf.registers\[15\]\[5\],25.76
rf.registers\[12\]\[28\],25.72
rf.registers\[2\]\[14\],25.715
_1787_,25.68
rf.registers\[28\]\[7\],25.62
_2472_,25.58
rf.registers\[23\]\[9\],25.55
rf.registers\[26\]\[23\],25.55
_2001_,25.54
_1671_,25.52
_1531_,25.5
rf.registers\[28\]\[2\],25.48
rf.registers\[6\]\[17\],25.48
_2375_,25.46
_2896_,25.46
_1528_,25.44
_2449_,25.4
rf.registers\[18\]\[12\],25.375
rf.registers\[27\]\[7\],25.36
rf.registers\[17\]\[24\],25.32
rf.registers\[1\]\[4\],25.32
rf.registers\[3\]\[31\],25.32
rf.registers\[19\]\[7\],25.28
rf.registers\[25\]\[24\],25.26
_2439_,25.22
rf.registers\[27\]\[4\],25.22
rf.registers\[31\]\[22\],25.22
rf.registers\[7\]\[31\],25.2
_2900_,25.195
rf.registers\[1\]\[13\],25.16
rf.registers\[26\]\[4\],25.145
rf.registers\[5\]\[25\],25.14
_3061_,25.12
rf.registers\[21\]\[11\],25.12
rf.registers\[29\]\[14\],25.12
_2499_,25.1
rf.registers\[25\]\[3\],25.1
_2023_,25.04
_3125_,25.04
rf.registers\[31\]\[6\],25.04
rf.registers\[26\]\[14\],25.03
